lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
129.449644,-25.648592,668.9,-30.797,3.00,39502.4,243463.5
129.351314,-25.641923,660.8,-31.682,3.00,40243.9,233636.6
129.234645,-25.638594,652.5,-28.969,3.00,40614.1,221976.9
129.149646,-25.650265,641.6,-30.467,3.00,39316.4,213482.3
129.077986,-25.603595,648.0,-44.821,3.00,44505.8,206320.7
129.054648,-25.775266,619.7,-33.841,3.00,25416.9,203988.4
129.137987,-25.750265,621.8,-33.866,3.00,28196.9,212317.1
129.252986,-25.748594,641.1,-29.710,3.00,28382.7,223809.9
129.342986,-25.746924,653.9,-32.969,3.00,28568.4,232804.3
129.439645,-25.740263,666.5,-29.707,3.00,29309.0,242464.2
129.557984,-25.753592,661.6,-27.115,3.00,27826.9,254290.8
129.649643,-25.750261,660.1,-27.944,3.00,28197.3,263451.0
129.734643,-25.760260,663.1,-32.934,3.00,27085.5,271945.8
129.844642,-25.741919,664.2,-30.076,3.00,29124.9,282938.9
129.934641,-25.753588,678.3,-32.168,3.00,27827.4,291933.2
130.054640,-25.745257,679.3,-48.844,3.00,28753.7,303925.7
130.154640,-25.741916,676.8,-64.038,3.00,29125.2,313919.5
130.252979,-25.745255,677.2,-81.298,3.00,28753.9,323747.3
130.346308,-25.746915,689.4,-94.964,3.00,28569.4,333074.4
130.456307,-25.746914,713.8,-108.607,3.00,28569.5,344067.5
130.459639,-25.850254,668.2,-111.625,3.00,17078.6,344400.5
130.324640,-25.845255,675.0,-94.770,3.00,17634.5,330908.9
130.249640,-25.848586,689.4,-80.075,3.00,17264.1,323413.6
130.147981,-25.850257,692.5,-58.730,3.00,17078.3,313254.0
130.047982,-25.848588,694.0,-38.644,3.00,17263.8,303260.3
129.946312,-25.851919,704.7,-34.278,3.00,16893.5,293099.6
129.857983,-25.841919,699.7,-29.485,3.00,18005.4,284272.1
129.756314,-25.848590,707.8,-33.370,3.00,17263.6,274111.5
129.661314,-25.851921,681.9,-31.144,3.00,16893.2,264617.4
