# VFSA 2D iteration best - 2026-09-14 16:42:49
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=0.1  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     2      100       0.1802       648.2790      -5.0937      1.25136     1.25136     570.6232     1.17402      1 chain_02/itr_00100_trial_01.rho
     2      101       0.1771       647.1948      -1.0842      1.25031     1.25031     570.6232     1.17402      1 chain_02/itr_00101_trial_01.rho
     2      102        0.174       648.0858       0.8911      1.25117     1.25117     570.6232     1.17402      1 chain_02/itr_00102_trial_01.rho
     2      103        0.171       623.5326     -24.5532      1.22724     1.22724     570.6232     1.17402      1 chain_02/itr_00103_trial_01.rho
     2      104       0.1681       618.9405      -4.5921      1.22271     1.22271     570.6232     1.17402      1 chain_02/itr_00104_trial_01.rho
     2      105       0.1652       622.3479       3.4074      1.22607     1.22607     570.6232     1.17402      1 chain_02/itr_00105_trial_01.rho
     2      106       0.1624       626.7606       4.4127      1.23041     1.23041     570.6232     1.17402      1 chain_02/itr_00106_trial_01.rho
     2      107       0.1596       633.0904       6.3298      1.23661     1.23661     570.6232     1.17402      1 chain_02/itr_00107_trial_01.rho
     2      108       0.1569       626.4934      -6.5970      1.23015     1.23015     570.6232     1.17402      1 chain_02/itr_00108_trial_01.rho
     2      109       0.1542       636.7763      10.2829      1.24020     1.24020     570.6232     1.17402      1 chain_02/itr_00109_trial_01.rho
     2      110       0.1515       635.9620      -0.8142      1.23941     1.23941     570.6232     1.17402      1 chain_02/itr_00110_trial_01.rho
     2      111       0.1489       640.9923       5.0303      1.24430     1.24430     570.6232     1.17402      1 chain_02/itr_00111_trial_01.rho
     2      112       0.1464       640.6667      -0.3256      1.24399     1.24399     570.6232     1.17402      1 chain_02/itr_00112_trial_01.rho
     2      113       0.1438       608.7284     -31.9383      1.21258     1.21258     570.6232     1.17402      1 chain_02/itr_00113_trial_01.rho
     2      114       0.1414       614.7619       6.0336      1.21858     1.21858     570.6232     1.17402      1 chain_02/itr_00114_trial_01.rho
     2      115       0.1389       630.5376      15.7756      1.23411     1.23411     570.6232     1.17402      1 chain_02/itr_00115_trial_01.rho
     2      116       0.1366       635.6417       5.1042      1.23910     1.23910     570.6232     1.17402      1 chain_02/itr_00116_trial_01.rho
     2      117       0.1342       655.5311      19.8894      1.25834     1.25834     570.6232     1.17402      1 chain_02/itr_00117_trial_01.rho
     2      118       0.1319       633.6319     -21.8992      1.23714     1.23714     570.6232     1.17402      1 chain_02/itr_00118_trial_01.rho
     2      119       0.1297       616.5245     -17.1075      1.22032     1.22032     570.6232     1.17402      1 chain_02/itr_00119_trial_01.rho
     2      120       0.1274       604.6311     -11.8934      1.20850     1.20850     570.6232     1.17402      1 chain_02/itr_00120_trial_01.rho
