iter	half_c1	half_c2	half_best	prior_c1	prior_c2	prior_best
167	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
168	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
169	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
170	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
171	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
172	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
173	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
174	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
175	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
176	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
177	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
178	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
179	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
180	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
181	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
182	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
183	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
184	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
185	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
186	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
187	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
188	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
189	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
190	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
191	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
192	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
193	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
194	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
195	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
196	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
197	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
198	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
199	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
200	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
201	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
202	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
203	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
204	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
205	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
206	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
207	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
208	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
209	1.212719	1.174017	1.174017	0.959978	0.920416	0.920416
210	1.208828	1.174017	1.174017	0.959978	0.920416	0.920416
211	1.204323	1.174017	1.174017	0.959978	0.920416	0.920416
212	1.204323	1.174017	1.174017	0.959978	0.920416	0.920416
213	1.201518	1.174017	1.174017	0.959978	0.920416	0.920416
214	1.194097	1.174017	1.174017	0.959978	0.920416	0.920416
215	1.194097	1.174017	1.174017	0.959978	0.920416	0.920416
216	1.187451	1.174017	1.174017	0.959978	0.920416	0.920416
217	1.185140	1.174017	1.174017	0.959978	0.920416	0.920416
218	1.168389	1.174017	1.168389	0.959978	0.920416	0.920416
219	1.168389	1.174017	1.168389	0.959978	0.920416	0.920416
220	1.165509	1.174017	1.165509	0.959978	0.920416	0.920416
221	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
222	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
223	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
224	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
225	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
226	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
227	1.156824	1.174017	1.156824	0.959978	0.920416	0.920416
