# VFSA 2D iteration best - 2026-09-14 17:40:40
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1      134          0.1    160129.9698       0.0000     13.80692    13.80692   96697.0206    10.72919      0 -
     1      135      0.09828    150527.4640   -9602.5058     13.38654    13.38654   96697.0206    10.72919      1 chain_01/itr_00135_trial_01.rho
     1      136       0.0966    147715.9276   -2811.5364     13.26093    13.26093   96697.0206    10.72919      1 chain_01/itr_00136_trial_01.rho
     1      137      0.09494    147715.9276       0.0000     13.26093    13.26093   96697.0206    10.72919      0 -
     1      138      0.09331    129914.6441  -17801.2835     12.43625    12.43625   96697.0206    10.72919      1 chain_01/itr_00138_trial_01.rho
     1      139      0.09171    129914.6441       0.0000     12.43625    12.43625   96697.0206    10.72919      0 -
     1      140      0.09013    129615.0215    -299.6226     12.42190    12.42190   96697.0206    10.72919      1 chain_01/itr_00140_trial_01.rho
     1      141      0.08859    124748.2747   -4866.7468     12.18646    12.18646   96697.0206    10.72919      1 chain_01/itr_00141_trial_01.rho
     1      142      0.08707    119659.0326   -5089.2421     11.93529    11.93529   96697.0206    10.72919      1 chain_01/itr_00142_trial_01.rho
     1      143      0.08557    116755.4278   -2903.6048     11.78960    11.78960   96697.0206    10.72919      1 chain_01/itr_00143_trial_01.rho
     1      144       0.0841    109727.4767   -7027.9511     11.42926    11.42926   96697.0206    10.72919      1 chain_01/itr_00144_trial_01.rho
     1      145      0.08266    121811.9035   12084.4269     12.04218    12.04218   96697.0206    10.72919      1 chain_01/itr_00145_trial_01.rho
     1      146      0.08124    121811.9035       0.0000     12.04218    12.04218   96697.0206    10.72919      0 -
     1      147      0.07985    121414.6847    -397.2188     12.02253    12.02253   96697.0206    10.72919      1 chain_01/itr_00147_trial_01.rho
     1      148      0.07848    109841.0453  -11573.6395     11.43517    11.43517   96697.0206    10.72919      1 chain_01/itr_00148_trial_01.rho
     1      149      0.07713    109841.0453       0.0000     11.43517    11.43517   96697.0206    10.72919      0 -
     1      150      0.07581    109841.0453       0.0000     11.43517    11.43517   96697.0206    10.72919      0 -
     1      151       0.0745    109793.2628     -47.7825     11.43268    11.43268   96697.0206    10.72919      1 chain_01/itr_00151_trial_01.rho
     1      152      0.07323    108931.9441    -861.3186     11.38775    11.38775   96697.0206    10.72919      1 chain_01/itr_00152_trial_01.rho
     1      153      0.07197     94488.0951  -14443.8490     10.60593    10.60593   94488.0951    10.60593      1 chain_01/itr_00153_trial_01.rho
     1      154      0.07073     90146.9850   -4341.1101     10.35943    10.35943   90146.9850    10.35943      1 chain_01/itr_00154_trial_01.rho
     1      155      0.06952     90146.9850       0.0000     10.35943    10.35943   90146.9850    10.35943      0 -
     1      156      0.06833     99362.3179    9215.3329     10.87605    10.87605   90146.9850    10.35943      1 chain_01/itr_00156_trial_01.rho
     1      157      0.06715     94424.7376   -4937.5803     10.60238    10.60238   90146.9850    10.35943      1 chain_01/itr_00157_trial_01.rho
     1      158        0.066     94424.7376       0.0000     10.60238    10.60238   90146.9850    10.35943      0 -
     1      159      0.06487     85026.0016   -9398.7359     10.06089    10.06089   85026.0016    10.06089      1 chain_01/itr_00159_trial_01.rho
     1      160      0.06375     85026.0016       0.0000     10.06089    10.06089   85026.0016    10.06089      0 -
     1      161      0.06266     86529.9667    1503.9651     10.14948    10.14948   85026.0016    10.06089      1 chain_01/itr_00161_trial_01.rho
     1      162      0.06158     82400.0498   -4129.9169      9.90431     9.90431   82400.0498     9.90431      1 chain_01/itr_00162_trial_01.rho
     1      163      0.06053     80251.6939   -2148.3558      9.77434     9.77434   80251.6939     9.77434      1 chain_01/itr_00163_trial_01.rho
     1      164      0.05949     79980.0552    -271.6387      9.75778     9.75778   79980.0552     9.75778      1 chain_01/itr_00164_trial_01.rho
     1      165      0.05847     72553.1767   -7426.8785      9.29370     9.29370   72553.1767     9.29370      1 chain_01/itr_00165_trial_01.rho
     1      166      0.05746     74952.3777    2399.2009      9.44611     9.44611   72553.1767     9.29370      1 chain_01/itr_00166_trial_01.rho
     1      167      0.05648     74952.3777       0.0000      9.44611     9.44611   72553.1767     9.29370      0 -
     1      168      0.05551     74952.3777       0.0000      9.44611     9.44611   72553.1767     9.29370      0 -
     1      169      0.05456     74952.3777       0.0000      9.44611     9.44611   72553.1767     9.29370      0 -
     1      170      0.05362     71783.7917   -3168.5860      9.24429     9.24429   71783.7917     9.24429      1 chain_01/itr_00170_trial_01.rho
     1      171       0.0527     76935.6645    5151.8728      9.57027     9.57027   71783.7917     9.24429      1 chain_01/itr_00171_trial_01.rho
     1      172      0.05179     76935.6645       0.0000      9.57027     9.57027   71783.7917     9.24429      0 -
     1      173      0.05091     76935.6645       0.0000      9.57027     9.57027   71783.7917     9.24429      0 -
     1      174      0.05003     70133.7951   -6801.8694      9.13743     9.13743   70133.7951     9.13743      1 chain_01/itr_00174_trial_01.rho
     1      175      0.04917     70133.7951       0.0000      9.13743     9.13743   70133.7951     9.13743      0 -
     1      176      0.04833     70133.7951       0.0000      9.13743     9.13743   70133.7951     9.13743      0 -
     1      177       0.0475     70133.7951       0.0000      9.13743     9.13743   70133.7951     9.13743      0 -
     1      178      0.04668     72570.3168    2436.5217      9.29480     9.29480   70133.7951     9.13743      1 chain_01/itr_00178_trial_01.rho
     1      179      0.04588     68303.1104   -4267.2064      9.01738     9.01738   68303.1104     9.01738      1 chain_01/itr_00179_trial_01.rho
     1      180       0.0451     69546.8457    1243.7353      9.09911     9.09911   68303.1104     9.01738      1 chain_01/itr_00180_trial_01.rho
     1      181      0.04432     69546.8457       0.0000      9.09911     9.09911   68303.1104     9.01738      0 -
     1      182      0.04356     67716.8982   -1829.9475      8.97861     8.97861   67716.8982     8.97861      1 chain_01/itr_00182_trial_01.rho
     1      183      0.04281     62287.4635   -5429.4347      8.61114     8.61114   62287.4635     8.61114      1 chain_01/itr_00183_trial_01.rho
     1      184      0.04208     62287.4635       0.0000      8.61114     8.61114   62287.4635     8.61114      0 -
     1      185      0.04136     61189.0809   -1098.3826      8.53488     8.53488   61189.0809     8.53488      1 chain_01/itr_00185_trial_01.rho
     1      186      0.04065     59138.2325   -2050.8484      8.39063     8.39063   59138.2325     8.39063      1 chain_01/itr_00186_trial_01.rho
     1      187      0.03995     59138.2325       0.0000      8.39063     8.39063   59138.2325     8.39063      0 -
     1      188      0.03926     59933.6930     795.4605      8.44687     8.44687   59138.2325     8.39063      1 chain_01/itr_00188_trial_01.rho
     1      189      0.03859     59933.6930       0.0000      8.44687     8.44687   59138.2325     8.39063      0 -
     1      190      0.03793     56345.1217   -3588.5712      8.19009     8.19009   56345.1217     8.19009      1 chain_01/itr_00190_trial_01.rho
     1      191      0.03728     54991.0578   -1354.0640      8.09108     8.09108   54991.0578     8.09108      1 chain_01/itr_00191_trial_01.rho
     1      192      0.03664     54851.3649    -139.6929      8.08079     8.08079   54851.3649     8.08079      1 chain_01/itr_00192_trial_01.rho
     1      193      0.03601     56126.0896    1274.7247      8.17415     8.17415   54851.3649     8.08079      1 chain_01/itr_00193_trial_01.rho
     1      194      0.03539     55628.3578    -497.7318      8.13783     8.13783   54851.3649     8.08079      1 chain_01/itr_00194_trial_01.rho
     1      195      0.03478     57616.6107    1988.2529      8.28198     8.28198   54851.3649     8.08079      1 chain_01/itr_00195_trial_01.rho
     1      196      0.03418     55839.9671   -1776.6436      8.15329     8.15329   54851.3649     8.08079      1 chain_01/itr_00196_trial_01.rho
     1      197       0.0336     54706.4798   -1133.4873      8.07012     8.07012   54706.4798     8.07012      1 chain_01/itr_00197_trial_01.rho
     1      198      0.03302     56013.0485    1306.5687      8.16592     8.16592   54706.4798     8.07012      1 chain_01/itr_00198_trial_01.rho
     1      199      0.03245     56786.2910     773.2425      8.22209     8.22209   54706.4798     8.07012      1 chain_01/itr_00199_trial_01.rho
     1      200       0.0319     55420.7466   -1365.5444      8.12263     8.12263   54706.4798     8.07012      1 chain_01/itr_00200_trial_01.rho
     1      201      0.03135     53820.0293   -1600.7173      8.00447     8.00447   53820.0293     8.00447      1 chain_01/itr_00201_trial_01.rho
     1      202      0.03081     53820.0293       0.0000      8.00447     8.00447   53820.0293     8.00447      0 -
     1      203      0.03028     55278.6597    1458.6304      8.11221     8.11221   53820.0293     8.00447      1 chain_01/itr_00203_trial_01.rho
     1      204      0.02976     55179.6003     -99.0594      8.10494     8.10494   53820.0293     8.00447      1 chain_01/itr_00204_trial_01.rho
     1      205      0.02925     52069.1191   -3110.4812      7.87319     7.87319   52069.1191     7.87319      1 chain_01/itr_00205_trial_01.rho
     1      206      0.02875     52069.1191       0.0000      7.87319     7.87319   52069.1191     7.87319      0 -
     1      207      0.02826     50425.8115   -1643.3076      7.74795     7.74795   50425.8115     7.74795      1 chain_01/itr_00207_trial_01.rho
     1      208      0.02777     50425.8115       0.0000      7.74795     7.74795   50425.8115     7.74795      0 -
     1      209       0.0273     49123.3724   -1302.4391      7.64724     7.64724   49123.3724     7.64724      1 chain_01/itr_00209_trial_01.rho
     1      210      0.02683     49123.3724       0.0000      7.64724     7.64724   49123.3724     7.64724      0 -
     1      211      0.02637     49123.3724       0.0000      7.64724     7.64724   49123.3724     7.64724      0 -
     1      212      0.02591     49123.3724       0.0000      7.64724     7.64724   49123.3724     7.64724      0 -
     1      213      0.02547     49470.1327     346.7603      7.67418     7.67418   49123.3724     7.64724      1 chain_01/itr_00213_trial_01.rho
     1      214      0.02503     47393.3633   -2076.7694      7.51137     7.51137   47393.3633     7.51137      1 chain_01/itr_00214_trial_01.rho
     1      215       0.0246     46076.9068   -1316.4565      7.40631     7.40631   46076.9068     7.40631      1 chain_01/itr_00215_trial_01.rho
     1      216      0.02418     45244.4598    -832.4470      7.33910     7.33910   45244.4598     7.33910      1 chain_01/itr_00216_trial_01.rho
     1      217      0.02377     45455.5963     211.1365      7.35621     7.35621   45244.4598     7.33910      1 chain_01/itr_00217_trial_01.rho
     1      218      0.02336     45883.2025     427.6063      7.39073     7.39073   45244.4598     7.33910      1 chain_01/itr_00218_trial_01.rho
     1      219      0.02296     45883.2025       0.0000      7.39073     7.39073   45244.4598     7.33910      0 -
     1      220      0.02256     45206.3603    -676.8423      7.33601     7.33601   45206.3603     7.33601      1 chain_01/itr_00220_trial_01.rho
     1      221      0.02218     44725.1088    -481.2514      7.29686     7.29686   44725.1088     7.29686      1 chain_01/itr_00221_trial_01.rho
