# VFSA 2D iteration best - 2026-09-15 00:25:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1       61       0.5953    180911.5882  -33403.0710     14.67552    14.67552  133170.5954    12.59112      1 chain_01/itr_00061_trial_01.rho
     1       62       0.5902    174902.9623   -6008.6259     14.42975    14.42975  133170.5954    12.59112      1 chain_01/itr_00062_trial_01.rho
     1       63       0.5851    156951.9476  -17951.0146     13.66922    13.66922  133170.5954    12.59112      1 chain_01/itr_00063_trial_01.rho
     1       64         0.58    155674.2353   -1277.7123     13.61347    13.61347  133170.5954    12.59112      1 chain_01/itr_00064_trial_01.rho
     1       65        0.575    166726.3070   11052.0716     14.08842    14.08842  133170.5954    12.59112      1 chain_01/itr_00065_trial_01.rho
     1       66       0.5701    156093.7979  -10632.5091     13.63180    13.63180  133170.5954    12.59112      1 chain_01/itr_00066_trial_01.rho
     1       67       0.5652    153010.7501   -3083.0477     13.49651    13.49651  133170.5954    12.59112      1 chain_01/itr_00067_trial_01.rho
     1       68       0.5603    155493.5356    2482.7855     13.60556    13.60556  133170.5954    12.59112      1 chain_01/itr_00068_trial_01.rho
     1       69       0.5555    159807.8242    4314.2886     13.79302    13.79302  133170.5954    12.59112      1 chain_01/itr_00069_trial_01.rho
     1       70       0.5507    156247.5897   -3560.2345     13.63851    13.63851  133170.5954    12.59112      1 chain_01/itr_00070_trial_01.rho
     1       71        0.546    182232.2001   25984.6103     14.72899    14.72899  133170.5954    12.59112      1 chain_01/itr_00071_trial_01.rho
     1       72       0.5413    194636.2977   12404.0976     15.22202    15.22202  133170.5954    12.59112      1 chain_01/itr_00072_trial_01.rho
     1       73       0.5366    194827.9296     191.6319     15.22951    15.22951  133170.5954    12.59112      1 chain_01/itr_00073_trial_01.rho
     1       74        0.532    163153.2503  -31674.6793     13.93664    13.93664  133170.5954    12.59112      1 chain_01/itr_00074_trial_01.rho
     1       75       0.5274    163153.2503       0.0000     13.93664    13.93664  133170.5954    12.59112      0 -
     1       76       0.5229    146583.1096  -16570.1407     13.20998    13.20998  133170.5954    12.59112      1 chain_01/itr_00076_trial_01.rho
     1       77       0.5184    139272.8952   -7310.2145     12.87638    12.87638  133170.5954    12.59112      1 chain_01/itr_00077_trial_01.rho
     1       78       0.5139    128180.4732  -11092.4219     12.35297    12.35297  128180.4732    12.35297      1 chain_01/itr_00078_trial_01.rho
     1       79       0.5095    128180.4732       0.0000     12.35297    12.35297  128180.4732    12.35297      0 -
     1       80       0.5051    126414.9978   -1765.4754     12.26760    12.26760  126414.9978    12.26760      1 chain_01/itr_00080_trial_01.rho
     1       81       0.5008    116229.0548  -10185.9431     11.76299    11.76299  116229.0548    11.76299      1 chain_01/itr_00081_trial_01.rho
     1       82       0.4964     90562.9529  -25666.1019     10.38331    10.38331   90562.9529    10.38331      1 chain_01/itr_00082_trial_01.rho
     1       83       0.4922     85407.5084   -5155.4444     10.08343    10.08343   85407.5084    10.08343      1 chain_01/itr_00083_trial_01.rho
     1       84       0.4879     85407.5084       0.0000     10.08343    10.08343   85407.5084    10.08343      0 -
     1       85       0.4837     95030.7392    9623.2308     10.63634    10.63634   85407.5084    10.08343      1 chain_01/itr_00085_trial_01.rho
     1       86       0.4796     95030.7392       0.0000     10.63634    10.63634   85407.5084    10.08343      0 -
     1       87       0.4754     94102.7151    -928.0241     10.58428    10.58428   85407.5084    10.08343      1 chain_01/itr_00087_trial_01.rho
     1       88       0.4713     86018.8483   -8083.8668     10.11946    10.11946   85407.5084    10.08343      1 chain_01/itr_00088_trial_01.rho
     1       89       0.4673     77445.4300   -8573.4183      9.60192     9.60192   77445.4300     9.60192      1 chain_01/itr_00089_trial_01.rho
     1       90       0.4633     63795.4300  -13650.0000      8.71475     8.71475   63795.4300     8.71475      1 chain_01/itr_00090_trial_01.rho
     1       91       0.4593     58284.8690   -5510.5610      8.32987     8.32987   58284.8690     8.32987      1 chain_01/itr_00091_trial_01.rho
     1       92       0.4553     59494.5588    1209.6898      8.41587     8.41587   58284.8690     8.32987      1 chain_01/itr_00092_trial_01.rho
     1       93       0.4514     53897.3540   -5597.2048      8.01021     8.01021   53897.3540     8.01021      1 chain_01/itr_00093_trial_01.rho
     1       94       0.4475     53897.3540       0.0000      8.01021     8.01021   53897.3540     8.01021      0 -
     1       95       0.4437     61179.9537    7282.5997      8.53424     8.53424   53897.3540     8.01021      1 chain_01/itr_00095_trial_01.rho
     1       96       0.4398     63845.7514    2665.7977      8.71819     8.71819   53897.3540     8.01021      1 chain_01/itr_00096_trial_01.rho
     1       97       0.4361     61865.8647   -1979.8867      8.58195     8.58195   53897.3540     8.01021      1 chain_01/itr_00097_trial_01.rho
     1       98       0.4323     61865.8647       0.0000      8.58195     8.58195   53897.3540     8.01021      0 -
     1       99       0.4286     56923.2371   -4942.6276      8.23200     8.23200   53897.3540     8.01021      1 chain_01/itr_00099_trial_01.rho
     1      100       0.4249     56923.2371       0.0000      8.23200     8.23200   53897.3540     8.01021      0 -
     1      101       0.4212     54346.9211   -2576.3160      8.04355     8.04355   53897.3540     8.01021      1 chain_01/itr_00101_trial_01.rho
     1      102       0.4176     55548.8550    1201.9339      8.13201     8.13201   53897.3540     8.01021      1 chain_01/itr_00102_trial_01.rho
     1      103        0.414     51693.6521   -3855.2029      7.84475     7.84475   51693.6521     7.84475      1 chain_01/itr_00103_trial_01.rho
     1      104       0.4105     52778.2061    1084.5540      7.92661     7.92661   51693.6521     7.84475      1 chain_01/itr_00104_trial_01.rho
     1      105       0.4069     52143.5972    -634.6088      7.87881     7.87881   51693.6521     7.84475      1 chain_01/itr_00105_trial_01.rho
     1      106       0.4034     50494.3664   -1649.2308      7.75321     7.75321   50494.3664     7.75321      1 chain_01/itr_00106_trial_01.rho
     1      107       0.3999     51748.9446    1254.5782      7.84894     7.84894   50494.3664     7.75321      1 chain_01/itr_00107_trial_01.rho
     1      108       0.3965     46895.1919   -4853.7527      7.47179     7.47179   46895.1919     7.47179      1 chain_01/itr_00108_trial_01.rho
     1      109       0.3931     46741.0785    -154.1134      7.45950     7.45950   46741.0785     7.45950      1 chain_01/itr_00109_trial_01.rho
